,Raw Job Description
0,"The Global Energy Infrastructure Solutions (GEIS) group is part of the wider Eaton Electrical Group and contains the Crouse Hinds division which manufactures high grade electrical products for hazardous, industrial, and commercial applications world-wide. We are looking for a Supply Chain Analyst to ensure the timely supply of products within GEIS portfolio. The successful candidate will work with product managers and suppliers to achieve inventory and customer service goals.

We are an engineering-to-order-come business, and if you are looking to get stuck into a complex challenge that not only allows you but actively encourages you to look at better ways of working, this could be your role.

Key Duties

- Manage the inbound supply of materials for a nominated portfolio.
- Create, review, and execute purchasing plans within budgets and targets.
- Review open POs for potential changes and also new PO recommendations that will keep the plan moving.
- Build and maintain stakeholder relationships with focus on accurate communication.
- Analyse purchasing processes to eliminate negative impacts through continuous improvement.
- Implement the most efficient cost-to-serve model using existing organisational knowledge.
- Working with the Supply Chain and Logistics teams to optimise stock flow, resolving capacity, costs, and availability conflicts.
- Manage vendor communication and negotiation to ensure alignment on delivery schedules, pricing, and service expectations.

Qualifications

- Minimum of 2 years of experience as a supply chain or logistics analysts preferably for a manufacturing firm in any industry (for e.g. electrical, mechanical, healthcare, FMCG).
- Knowledge of supply chain concepts, including how safety stock levels can be influenced.
- Intermediate Excel skills with experience in SAP. 
- Tertiary qualifications in supply chain, business, or engineering.
- Self-motivated, team player, willing to learn, problem solver.

What We Offer

- Competitive salary with access to bonus scheme
- Inclusive working environment
- Volunteer days
- Outstanding training and development programs for both professional and personal development

We are committed to ensuring equal employment opportunities for all job applicants and employees. Our recruitment processes encourage diversity by utilising a balanced selection criteria regardless of the applicants age, gender, gender identity, ethnicity, religion, sexual orientation, or any other status protected or required by law. Eaton prides itself in truly representing the people within our communities.

If this sounds like you, please send through your application. We look forward to hearing from you!"
1,"We are recruiting for a Research Analyst to join the highly regarded Australian Small Caps Research team at Associate level. This is an excellent opportunity for someone with a strong quantitative skillset, excellent communication skills and a passion for learning to work in an exciting and fast-paced job that will help to accelerate your career. This position offers meaningful autonomy, to build out coverage and gain exposure to a broad range of industries and business models and engage directly with key corporate executives and client decision makers.

Responsibilities

- Creating and maintaining earnings models by leveraging skills in accounting, finance and economics
- Researching and writing reports with a company or sector specific focus
- Developing relationships and interacting with equity sales and trading, institutional clients, investor relations personnel, company management and other industry participants 
- Collaborating with domestic, regional and global colleagues on research projects 
- Idea generation – finding insights and actionable value-add for clients
- Discovery – exploring the under-researched stocks that can “move the needle” for small cap investors

Qualifications

Skills Required 

- A university degree or post-graduate qualification (or equivalent), demonstrating advanced numeracy and exceptional communication skills
- Deep curiosity and a passion for learning
- Aptitude to think laterally, creatively and to problem solve
- Ability to work in small teams, with a strong focus on coordination, collaboration and teamwork
- Adaptable approach, with the capability to cover multiple industries and business models 
- Proactive and hard-working, with a willingness to work independently, to meet deadlines and take accountability
- Previous experience in financial services, with a proven skillset in constructing financial models 

What You Can Expect From Morgan Stanley

We are committed to maintaining the first-class service and high standard of excellence that have defined Morgan Stanley for over 89 years. Our values - putting clients first, doing the right thing, leading with exceptional ideas, committing to diversity and inclusion, and giving back - aren’t just beliefs, they guide the decisions we make every day to do what's best for our clients, communities and more than 80,000 employees in 1,200 offices across 42 countries. At Morgan Stanley, you’ll find an opportunity to work alongside the best and the brightest, in an environment where you are supported and empowered. Our teams are relentless collaborators and creative thinkers, fueled by their diverse backgrounds and experiences. We are proud to support our employees and their families at every point along their work-life journey, offering some of the most attractive and comprehensive employee benefits and perks in the industry. There’s also ample opportunity to move about the business for those who show passion and grit in their work.

To learn more about our offices across the globe, please copy and paste https://www.morganstanley.com/about-us/global-offices into your browser.

Morgan Stanley’s goal is to build and maintain a workforce that is diverse in experience and background but uniform in reflecting our standards of integrity and excellence. Consequently, our recruiting efforts reflect our desire to attract and retain the best and brightest from all talent pools. We want to be the first choice for prospective employees.

It is the policy of the Firm to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, religion, creed, age, sex, gender, gender identity or expression, sexual orientation, national origin, citizenship, disability, marital and civil partnership/union status, pregnancy (including unlawful discrimination on the basis of a legally protected pregnancy/maternity leave), veteran status, genetic information, or any other characteristic protected by law.

Morgan Stanley is an equal opportunity employer committed to diversifying its workforce."
2,"Our client is looking to engage a Data Analyst to join to join their dynamic and high-performing Data & Analytics team for a 6-month fixed term contract. This is a Brisbane-based role.

Be a part of a values-driven organisation in the early education sector, where people make a genuine difference. Their mission is to inspire and nurture individuals to reach their full potential. Allowing their people to shine – so they can deliver the best possible outcomes.

What's in it for you?

Be part of a collaborative, and inclusive environment where your expertise will help shape data strategy and support key initiatives, focusing on elements such as how data is visualised and connected across the organisation. This is a hands-on opportunity to make a real impact, working with a strong team and modern tech stack including Tableau, SQL, and Snowflake.

- Competitive salary 
- Hybrid work model – 1 day WFH
- Work alongside a passionate and skilled data team
- Be part of a business making meaningful change in the education sector

About The Role

This role is to help streamline and realign the dashboard environment of the business. You’ll be diving into Tableau setup, auditing existing dashboards, improving backend connections, and supporting our transition to Snowflake.

This role is all about optimisation, exploration, and maintaining the integrity of the data—you’ll be the go-to person for making the data visualisations cleaner, smarter, and more connected.

Key Responsibilities

- Audit and explore existing dashboards to identify opportunities for consolidation, cleanup, and optimisation.
- Monitor and maintain data integrity from source systems through to presentation.
- Realign dashboards and data sources to support the new data strategy and business domain requirements.
- Collaborate with the team to streamline backend and improve dashboard performance and usability.
- Support the transition of the backend database, including adapting existing dashboards and queries.
- Deliver intuitive, insightful visualisations aligned with business needs, as well as making sure it’s FFP.

About You

Confident and capable Data Analyst with deep experience in Tableau and SQL, and ideally some exposure or experience with Snowflake. You love cleaning up dashboards, analysing and exploring data, maintaining its integrity, and delivering visualisations that make sense to the business.

- Bachelor’s degree in data analytics or related field.
- Proven experience with Tableau and SQL is a must, with a minimum of 2 – 3 years using it in a business environment.
- Strong understanding of data connections, backend logic and dashboards.
- Exposure to Snowflake or similar cloud data platforms.
- Comfortable working with business stakeholders, providing analysis and recommendations.
- Collaborative mindset and ability to work in a small, agile team.
- Exceptional communication skills and attention to detail.

Who are we, and what's next?

We're Talentpath - Nice To Meet You. We're Lucky To Partner With Companies To Help Them Fuel The Potential Of Their Business Through The Addition Of Talented People. We'd Love To See You Apply Directly To This Ad So We Can Get The Ball Rolling, As Our Client Will Be Interviewing As Soon As Possible. Alternatively, If You're Looking For a Career Convo To Explore Your Options, We'd Love The Opportunity To Help. For a Zoom, a Coffee Or Just To Say Hi, You Can Find Me On The Details Below

Jaclyn@talentpath.com.au

We encourage you to apply for this role even if you don't tick all the boxes. Recent research shows that people from disadvantaged and/or underrepresented backgrounds are more likely to scroll past a job if they don't have every single requirement - let's change that. We recognise that people are more than just their CVs and take pride in being inclusive and diverse in our recruiting process. So, if this role has piqued your interest, apply!"
3,"Why work with us?

At Council, we’re proud of our region. We collaborate with community to achieve truly sustainable outcomes, enhance our enviable lifestyle, and create award-winning places and spaces that are uniquely Sunshine Coast. So, if you love it here as much as we do, and you want to shape our region for the future – you’ll want to join our team!

With the vision to be Australia’s most sustainable region -Connected. Liveable. Thriving, our region is a model of sustainability, where caring for our environment, creating vibrant communities and growing our local economy is a way of life.

About The Role

The Digital & Information Services Branch delivers agile, innovative technology solutions that support Council’s strategic goals and enhance community services.

We are currently recruiting for two full-time Junior Analyst positions. Appointment will be made at either Level 2 or Level 3, depending on your skills and experience.

As a Junior Analyst, you will play a key role in supporting Council’s service delivery by supporting the management of the lifecycle of business systems, relationships and processes. You’ll work closely with senior analysts and stakeholders to deliver agile and transformative technology solutions that improve performance and efficiency across the organisation.

Key Responsibilities Include, But Are Not Limited To

- Analyse business systems and document requirements.
- Provide app support, resolve issues, and manage data.
- Assist with testing, training, and system implementation.
- Collaborate with stakeholders and drive improvements.

This position is based at Sunshine Coast City Hall, in the heart of Maroochydore CBD. This state of the art and sustainable building is designed to achieve an innovative and collaborative workspace.

About You

You’re a detail-oriented and proactive professional with a Certificate III or IV in Information Technology, or equivalent experience, and a passion for solving problems. You bring strong analytical thinking and organisational skills to every task.

Your communication and customer service skills help you build strong working relationships and deliver effective support. Experience with enterprise applications is a bonus, but your eagerness to learn and contribute is what sets you apart.

You thrive in collaborative environments, enjoy working with data and systems, and are ready to grow your career in a team that values innovation and continuous improvement.

Our Culture & Employee Benefits

Council is committed to creating an inclusive, culturally diverse, healthy, skilled and dedicated workplace culture. As an employee you will enjoy a range of benefits and working styles to suit you:

- Wellbeing: Your wellbeing is important to us therefore we offer a number of different initiatives such as discounted health related memberships, fitness passport, employee assistance program and development opportunities. 
- Flexibility: We know it is important to balance life and work, therefore we offer flexible working including a 9-day fortnight and a hybrid WFH model that help you be your best.
- Extras: Those extras make a difference therefore we offer salary packaging options on novated leases, superannuation, smartphones and devices.

How To Apply

Your written application should include:

- A 1-2 page cover letter demonstrating your ability to fulfil the mandatory and desirable requirements on the Position Profile. Keep the key responsibilities in mind when addressing this criteria; and
- A current resume or curriculum vitae.

Once you have these two documents ready, click ‘Apply Now’ and follow the prompts to complete your application.

Further Information

Helpful information to assist you in completing your application is available on the Sunshine Coast Council website.

To learn more about Council’s vision and projects, you can view the Corporate Plan 2025-2030.

For specific enquiries contact Louise Walker during business hours on 0418 884 350.

We're working hard to create an inclusive workplace that reflects the diverse community we serve. If you require adjustments at any stage of the recruitment process, please reach out to the Recruitment Team joinusnow@sunshinecoast.qld.gov.au.

At Sunshine Coast Council, we embrace differences in gender, age, ethnicity, race, cultural background including First Nations, disability, religion and sexual orientation. To deliver the best service to our region we want a workforce that reflects the diverse community that we serve. Sunshine Coast Council strongly encourages all suitable applicants to apply for this role."
4,"From humble beginnings in downtown Bendigo to supporting Australian communities far and wide- Myer has always been a special place, transcending beyond just a place to work.
 Myer is a place for finding life-long friendships, a safe space with a big heart. Here, you’re encouraged to be yourself, share your ideas and are entrusted to deliver your very best. Some might even say it feels like being “right at home”.
 
- 12 month, full-time fixed-term contract
- Opportunity to develop your Supply Chain Analytics career in this new position
- Work on exciting Supply Chain initiatives
- Work from our Ravenhall National DC
Myer is currently looking for a Supply Chain Analyst who will work in alignment with our company strategy. You will be reviewing, analysing, recommending, and conducting Supply Chain operational activities and project development tasks.
 About the Role:
 
- Plan and support Electronic Data Interchange (EDI) accreditation for every new Supplier and ensure accreditations meet Myer trading requirements and standards and resolving EDI system issues in a timely and appropriate manner.
- Manage Myer GIS system alerts and queries from external parties via the EDI helpdesk and ensure that any issues whist in accreditation system are resolved appropriately.
- Work collaboratively with key stakeholders across Myer, Wholesale Suppliers and Value Added Network providers to further enhance the onboarding capabilities and ensure on-boarding at a scalable rate
- Liaise with Myer gateway team to investigate and resolve any on-going IT issues prior to handover into BAU ensuring that suppliers can receive online orders electronically.
- Support and advise the optimum EDI implementation solution, processes and provide continued assistance, direction and issue resolution to the suppliers
About You:
 
- Minimum 1 year of experience in a similar role
- Previous experience working in a Supply Chain function
- Excellent verbal and written communication skills with ability to communicate with diverse stakeholders
- Advanced problem solving and workload prioritisation skills
- Ability to work autonomously, follow direction but also collaborate as a team

 Benefits to you:
 
- Generous team member discounts on all Myer products, including team-member exclusive discounts.
- Access to lifestyle leave and volunteer leave - arrange work around your life, not life around work!
- A supportive leadership and team network to set you up for success.
- Career growth and succession opportunities across the business.
We’d love to hear from you even if you don’t meet all the criteria listed above.
 We welcome applications from people of diverse backgrounds, whether it’s gender, sexuality, ethnicity, religion, age, disability and neurodiversity. We encourage candidates to ask for any adjustments that will support them to be their best through the recruitment process.
 Here, you’re not only an employee. You’re a valued Team Member with real dreams that we want to help you chase, no matter how big or small. At Myer, we’re all about making your work life meaningful. We want you to experience life’s special moments fully, which is why we take pride in offering balance and flexible options to get you to where you want to be. 
 Wherever you are and wherever you’re going, we’ll meet you there and get you to your destination. With your enthusiasm and our support, we’re fully committed to helping you thrive and flourish. The future lies in your hands.
 Welcome Home!"
5,"About AV: Australian Vintage (AV) is an ASX-listed company and the proud owner of the multi-award-winning McGuigan, Tempus Two, Nepenthe, and Barossa Valley Wine Company brands. Leveraging our world-class assets and innovative expertise, we are dedicated to delivering exceptional results.
As a certified B Corporation, Australian Vintage is committed to making a positive impact on both people and the planet through continuous improvement and by using business as a force for good. We have set an ambitious Net Zero 2040 emissions target, are powered by renewable energy, and ensure all our owned and operated vineyards and wineries are certified under Sustainable Wine guidelines.
We support our people to make an impact where they live through paid volunteer days and are proud to be recognised as an accredited Mental Health First Aid workplace by Mental Health First Aid Australia as of January 2023.
About the role: This is a great opportunity for someone looking to grow their career in finance, analytics, or FMCG. As a Commercial Analyst, you will work closely with our Sales and Commercial teams to provide insights that make a real difference to the business. It is a hands-on role where you will learn a broad range of commercial functions – from pricing and forecasting through to financial reporting and sales analysis.
You will be part of a supportive team, gain exposure to senior stakeholders, and develop your skills in a fast-paced and exciting industry. No two days will look the same, and you will have plenty of opportunity to learn and grow.
What you’ll do:
- Support pricing and customer rebate processes, making sure customers are looked after quickly
- Prepare weekly sales reports and keep product and price information accurate and up to date
- Assist with monthly reporting and analysis to track performance against budgets and forecasts
- Contribute to forecasting and planning alongside Sales, Supply Chain and Finance
- Provide ad-hoc analysis and insights to help the team make smarter decisions
What you’ll bring:
- A degree in Accounting, Finance, Business, or a related field
- Strong Excel skills and a passion for working with data
- Attention to detail and a curious, problem-solving mindset
- Great communication skills and the ability to work well with others
- A desire to learn, develop, and build your career in FMCG and commercial analytics
- Experience with PowerBI is a bonus, but not essential
What we offer: We're proud to offer a strong benefits package that we know can make a big difference to work life and life outside of work.
- Primary carer parental leave offering 26 weeks paid leave
- Loyalty leave
- Work from Anywhere benefit, offering flexibility to work remotely
- Birthday leave
- Volunteer days
- Further education and study support
- Flexible working
- Mental health and wellbeing training and support
- Annual product allowance
- Options to purchase additional annual leave
- Sabbaticals and career breaks
- Continuation of superannuation while on paid and unpaid parental leave
If you are eager to build your career, enjoy working with data, and want to be part of a global wine business where your work has real impact, apply now."
6,"About UsFinsure is a premier mortgage aggregation company renowned for setting the benchmark in innovative financial solutions in Australia. We leverage cutting-edge technology and data analytics to empower our clients and lead the market. Our dynamic work culture celebrates innovation, embraces challenges, and focuses on delivering data-driven outcomes that add real business value.
Role OverviewDo you love turning data into insights that drive real business decisions? Join us as a Business Intelligence (BI) Analyst and make a direct impact by shaping how data informs strategy across the organisation.We are looking for someone who can do more than just build reports. This is a role for someone who can think strategically, understand business challenges, and create analytics solutions that empower the business to make better decisions.While many can produce dashboards, we need someone who can ask the right questions, connect the dots, and tell the story behind the data. This role will report directly to the Business Intelligence Lead and will play a key part in driving actionable insights across the organisation.
Key Responsibilities
- Deliver actionable insights: Translate complex data into clear findings that directly inform business decisions.
- Build high-impact reporting solutions: Design, develop, and maintain dashboards and reports that focus on the right metrics, not just more metrics.
- Manage ad hoc requests: Handle day-to-day data and reporting needs from multiple business units with speed and accuracy.
- SQL development and troubleshooting: Write, optimise, and debug SQL queries to extract and validate data, identify gaps, and resolve issues in existing queries or datasets.
- Partner with the business: Engage with stakeholders across different departments to understand their priorities and deliver analytics solutions that address real business needs.
- Ensure data quality and reliability: Validate data sources and maintain accuracy in all reports and dashboards.
- Tell the story with data: Present insights through compelling visualisations and narratives that are easy to understand for non-technical audiences.
- Shape BI best practices: Contribute to the company’s data-driven culture by identifying opportunities to enhance reporting and analytics processes.
Qualifications & Experience
- Bachelor’s or Master’s degree in Computer Science, Analytics, Data Science, IT, or a related field.
- 5+ years’ experience in business intelligence, insights, or analytics with a proven ability to influence business outcomes.
- Strong experience with BI tools such as Power BI (preferred), Tableau, or Qlik.
- Excellent SQL skills, with proven experience troubleshooting queries, identifying data gaps, and improving query performance.
- Familiarity with Snowflake and AWS cloud-based data warehouses is a strong advantage.
- Ability to go beyond dashboards to deliver insight-led recommendations.
- Excellent communication skills, with the ability to translate complex analysis into business-friendly language.
- A naturally curious mindset with strong problem-solving skills and attention to detail.
What We Offer
- Opportunity to work closely with senior leadership and shape strategic business decisions.
- Exposure to a wide range of business functions and data sets.
- Competitive salary and benefits package.
- A supportive and innovative work environment where your insights will directly influence outcomes."
7,"Collins Executive Recruitment has been exclusively mandated to appoint a Junior Analyst to join a high-performing private equity fund with a proven track record in growth-stage investing.
The OpportunityThe fund invests in founder-led technology and software businesses with established product-market fit and growth potential. Its strategy combines long-term capital with active partnership, working closely with management teams to accelerate growth, scale operations, and unlock strategic value.
This position offers unique exposure to the entire investment lifecycle, from origination and due diligence through to portfolio value creation and exit. You will work directly with experienced investment professionals in a dynamic and entrepreneurial environment.
The RoleAs a Junior Analyst, you will support investment origination, execution, and portfolio management across a pipeline of innovative technology and software businesses. The role requires intellectual curiosity, analytical rigour, and initiative, with an emphasis on independent thinking in a lean, high-performance setting.
Key Responsibilities:
- Conduct detailed financial, commercial, and strategic analysis of prospective investments.
- Support due diligence processes, including market mapping, competitor benchmarking, and operational assessments.
- Build and maintain robust financial models to guide investment decisions.
- Prepare investment memoranda, presentations, and supporting materials for internal committees.
- Engage with portfolio company executives to assist in strategic and operational value creation initiatives.
- Monitor portfolio performance, highlighting risks, opportunities, and growth drivers.
- Contribute to investment pipeline development through proactive research and industry coverage.
Candidate Profile
- Up to 2 years’ professional experience in finance, consulting, accounting, investment management, corporate development, technology, engineering, or a related field.
- Strong academic record with a degree in Finance, Business, Economics, IT, Engineering, or a related discipline (Distinction/High Distinction average).
- Advanced analytical and problem-solving skills.
- Clear and confident communication skills, with the ability to engage senior stakeholders.
- A self-starter with the maturity to operate in an agile and less structured environment.
- Demonstrated passion for technology and software, and a clear ambition to build a career in investment.
Why JoinThis is an opportunity to fast-track your career in private equity, gaining hands-on experience in complex transactions and value creation. You will join a collaborative, ambitious team that prizes curiosity, accountability, and creativity, while providing direct exposure to senior investment professionals and portfolio executives."
8,"We’re Hiring – Investment Analyst
Waterhouse VC (WVC) is one of Australia's top-performing investment funds (+3,500% gross return since 2019). Backed by the Waterhouse family's 100+ years of industry expertise, our model is unique: we preserve capital by holding the majority in a global equities strategy, and seek to generate outsized returns by acquiring options in early-stage B2B technology businesses that power the global wagering industry behind the scenes.
We’re now looking for an entrepreneurial Investment Analyst to join our small team. You'll work directly with our CIO, get hands-on exposure to live deals, and support portfolio companies as they scale.
What you’ll do
- Screen inbound deals, join founder calls, and support due diligence through to documentation- Maintain deal pipeline and CRM to track opportunities from first contact through to investment decision- Support portfolio companies by connecting them with investors, customers, and industry contacts- Contribute to thought leadership content and industry analysis pieces
Who you are
- 1–5 years’ experience in gambling/iGaming,VC, product, BD, or IB/consulting.- Genuine interest in gambling and new technology in this industry.- Highly proactive, persistent, and detail-oriented.- Strong analytical skills and clear written communication.
Location & working arrangements
Head office is in Sydney but we're supportive of remote work (globally) for the right candidate.
How to apply
We're not screening by CVs alone - we want to see how you think. Please submit ONE PDF containing your CV plus your responses to all four tasks below (max 3 pages total for tasks). Applications missing the task responses will be automatically rejected. No cover letter required.
1. A startup pitches a mobile-first betting exchange, with zero commission (funded by ads). Licensed in Curacao with 20,000 registered users and $50 average user volume. They're raising $2m to expand. Would you recommend WVC take a closer look? Why/why not? (Max 300 words)
2. What’s the most interesting gambling/iGaming innovation in the last 2 years, and why does it matter (Max 250 words)
3. A new WVC portfolio company just launched a B2B white-label betting platform. What would you do in your first 90 days to help them land three operator contracts? (Max 200 words)
4. What excites you personally about the gambling industry? (Max 200 words)
We’d love to hear from you
If you're ready for your next challenge and this opportunity has sparked your interest, we encourage you to apply. Please submit your application through LinkedIn. We'll review all applications within one week of receipt. Selected candidates will be invited for an initial Zoom interview."
9,"- 3 month contract opportunity with extension
- Opportunity to work a education sector
- learning and developmentJoin a leading university in Perth as they embark on an exciting technology-enabled transformation.

Your new company 

Join a leading university in Perth as they embark on an exciting technology-enabled transformation within their Bachelor of Nursing (Honours) program. This short-term opportunity offers the chance to contribute to the implementation of cutting-edge simulation technology in a dynamic academic environment. 

Your new role 

As a Business Analyst, you will play a key role in the discovery and requirements gathering phase for the integration of the Laerdal simulation suite, including SimCapture. You'll work closely with academic stakeholders, IT teams, and external vendors to ensure the solution aligns with teaching and learning objectives and integrates seamlessly with the university's IT infrastructure. 

3-month initial contract
Start ASAP

Key responsibilities

- Lead discovery activities for the Laerdal simulation suite
- Align technology capabilities with course and program outcomes
- Engage nursing faculty to capture use cases and workflows
- Liaise with vendors to understand system capabilities and constraints
- Document business and system requirements, including user stories and test cases
- Collaborate with IT teams to ensure technical feasibility and integration
- Support stakeholder sign-off through validation and testing.

What you'll need to succeed 

- Proven experience as a Business Analyst in technology-enabled projects
- Strong documentation and stakeholder engagement skills
- Ability to translate business needs into actionable deliverables
- Familiarity with user stories, process mapping, and test scenarios
- Excellent written communication skillsDesirable experience

- Exposure to higher education, healthcare, or simulation-based learning
- Understanding of IT networks and integration projects
- Experience with Laerdal manikins and SimCapture
What you'll get in return 

This is a fantastic opportunity to contribute to a meaningful project in the education sector. You'll be part of a collaborative team 

What you need to do now 

If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV to Lovlin.Rashmi@Hays.com.au, or call us now.

If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion on your career."
