Unnamed: 0,job_title,company_name,location,job_link,date_scraped,city,state
0,Analyst,Kpmg Australia,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/analyst-executive-debt-advisory-at-kpmg-australia-4311179984?position=1&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=L3RxgKA8TzoX8E9QUNc%2BWQ%3D%3D,2025-10-24,Melbourne,Victoria
1,Equity Research Analyst,Morgan Stanley,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/equity-research-analyst-small-caps-at-morgan-stanley-4296894645?position=2&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=G%2Fkt0WkjSzGhSmTlw%2BG7Dw%3D%3D,2025-10-24,Sydney,New South Wales
2,Graduate Analyst,Collins Executive Recruitment,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/graduate-analyst-private-equity-technology-software-growth-technology-fund-at-collins-executive-recruitment-4308892975?position=3&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=jPXsYhGb1j2MDHlWX8Jyaw%3D%3D,2025-10-24,Sydney,New South Wales
3,Data Analyst,Lendi Group,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/data-analyst-at-lendi-group-4315173151?position=4&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=oAbxpslNyfTUbvLTXWu%2B3A%3D%3D,2025-10-24,Sydney,New South Wales
4,Project Analyst,Symbio,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/project-analyst-at-symbio-4314638844?position=5&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=SSQ022%2FdQpKvvxM23hYfbw%3D%3D,2025-10-24,Sydney,New South Wales
5,Graduate Business Analyst,Brisbane City Council,"Brisbane, Queensland, Australia",https://au.linkedin.com/jobs/view/graduate-business-analyst-at-brisbane-city-council-4312656808?position=6&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=HH89%2BP6arG4ObWAKSc7SSg%3D%3D,2025-10-24,Brisbane,Queensland
6,Commercial Analyst,Australian Vintage,"Balmain, New South Wales, Australia",https://au.linkedin.com/jobs/view/commercial-analyst-at-australian-vintage-4304845115?position=7&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=Il5TABLDJQ%2F7CwPRH1i6pQ%3D%3D,2025-10-24,Balmain,New South Wales
7,Business Analyst,Odoo,"Gold Coast, Queensland, Australia",https://au.linkedin.com/jobs/view/business-analyst-at-odoo-4317712457?position=8&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=xt5%2FmIKHbhAZUtlQGfPtZw%3D%3D,2025-10-24,Gold Coast,Queensland
8,Data Analyst,M&T Resources,"Rochedale South, Queensland, Australia",https://au.linkedin.com/jobs/view/data-analyst-at-m-t-resources-4310987274?position=9&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=NnD%2B3EjbNr%2FckyN5mkGd0Q%3D%3D,2025-10-24,Rochedale South,Queensland
9,Product Analyst,Easygo,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/product-analyst-kick-at-easygo-4315657098?position=10&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=FqAnFoFPWEzt5%2BNzkWUItA%3D%3D,2025-10-24,Melbourne,Victoria
10,Business Intelligence Analyst,Finsure,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/business-intelligence-analyst-at-finsure-4315527129?position=11&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=Fxy%2BpRTidHYGvI814Vv17Q%3D%3D,2025-10-24,Sydney,New South Wales
11,Business Analyst,Dnata,"Mascot, New South Wales, Australia",https://au.linkedin.com/jobs/view/business-analyst-at-dnata-4265937330?position=12&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=YvZ5%2F8qyVfxC7ZPdaT0gXg%3D%3D,2025-10-24,Mascot,New South Wales
12,Media Search Analysts In Australia,Illawarra Mercury,"Coniston, New South Wales, Australia",https://au.linkedin.com/jobs/view/media-search-analysts-in-australia-remote-at-illawarra-mercury-4305954262?position=13&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=0mGUJlLVmYICpG1aiamgXA%3D%3D,2025-10-24,Coniston,New South Wales
13,Investment Analyst,Altuva Group,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/investment-analyst-at-altuva-group-4317092762?position=14&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=grVg7psLffn1nUb06McGuw%3D%3D,2025-10-24,Sydney,New South Wales
14,Fraud Analyst,Easygo,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/fraud-analyst-at-easygo-4248652725?position=15&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=pKI%2FDjBEqig%2BQ8zkSCcIqg%3D%3D,2025-10-24,Melbourne,Victoria
15,Energy Trading Analyst,Edge2020,"Brisbane, Queensland, Australia",https://au.linkedin.com/jobs/view/energy-trading-analyst-at-edge2020-4316905932?position=16&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=7jRpaR866fCS9bkndI7tYA%3D%3D,2025-10-24,Brisbane,Queensland
16,Quality Analyst,Coca-Cola Europacific Partners,"Richlands, Queensland, Australia",https://au.linkedin.com/jobs/view/quality-analyst-at-coca-cola-europacific-partners-4308027024?position=17&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=tymLBkyyPj1opkA%2BTSjm7A%3D%3D,2025-10-24,Richlands,Queensland
17,Risk And Chargebacks Analyst,Nuvei,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/risk-and-chargebacks-analyst-at-nuvei-4281506863?position=18&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=E3M5dXXOsmnkkZ563ZNBjg%3D%3D,2025-10-24,Sydney,New South Wales
18,Junior Business Analyst,Careers At Council,"Queanbeyan, New South Wales, Australia",https://au.linkedin.com/jobs/view/junior-business-analyst-at-careers-at-council-4317800988?position=19&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=yxZok7UyEYM66EpZNaihNg%3D%3D,2025-10-24,Queanbeyan,New South Wales
19,Principal Planning Analyst,Qantas,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/principal-planning-analyst-components-at-qantas-4323967317?position=20&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=fvpint0GipZwYkdub6JTqw%3D%3D,2025-10-24,Sydney,New South Wales
20,Business Intelligence Analyst,Mcnab,"Brisbane, Queensland, Australia",https://au.linkedin.com/jobs/view/business-intelligence-analyst-at-mcnab-4314326774?position=21&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=kmXhBZAYPE8dezMmo7nt7g%3D%3D,2025-10-24,Brisbane,Queensland
21,Business Analyst,Dnata,"Mascot, New South Wales, Australia",https://au.linkedin.com/jobs/view/business-analyst-at-dnata-4315494379?position=22&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=hoKuKYe6akXdW%2FAPtfeWkQ%3D%3D,2025-10-24,Mascot,New South Wales
22,Operations Analyst,Thera Capital Management,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/operations-analyst-at-thera-capital-management-4313752492?position=23&pageNum=0&refId=YrMzi33xVMTFTZ2USHWJxQ%3D%3D&trackingId=zqeXQWrmYp7U9S2D%2FAw9Hg%3D%3D,2025-10-24,Sydney,New South Wales
